participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
5b2ac6jz,10,s2_n,0.0,AC_n,"1, 1, 0",Neutral,0.0,0.0
5dmb8rwf,1,s9_n,0.0,AC_n,"1, 1, 1",Non-Neutral,-1.0,1.0
5dmb8rwf,2,s9_n,-1.0,AC_n,"0, 1, 0",Non-Neutral,-1.0,1.0
5dmb8rwf,3,s9_n,-1.0,AC_n,"0, 1, 1",Non-Neutral,0.0,0.0
5dmb8rwf,4,s9_n,-1.0,AC_n,"1, 0, -1",Non-Neutral,0.0,0.0
5dmb8rwf,5,s9_n,1.0,AC_n,"-1, -1, -1",Non-Neutral,2.0,2.0
5dmb8rwf,6,s9_n,1.0,AC_n,"0, 0, -1",Non-Neutral,0.0,0.0
5dmb8rwf,7,s9_n,1.0,AC_n,"0, -1, -1",Non-Neutral,0.0,0.0
5dmb8rwf,8,s9_n,0.0,AC_n,"-1, -1, 1",Non-Neutral,-1.0,1.0
5dmb8rwf,9,s9_n,1.0,AC_n,"0, 0, 0",Non-Neutral,1.0,1.0
5dmb8rwf,10,s9_n,0.0,AC_n,"1, 1, -1",Non-Neutral,-1.0,1.0
5g7ydtcz,1,s4_n,1.0,NO_n,"[-1, 1, -1]",Non-Neutral,0.0,0.0
5g7ydtcz,2,s4_n,-1.0,NO_n,"[-1, 0, -1]",Non-Neutral,-2.0,2.0
5g7ydtcz,3,s4_n,1.0,NO_n,"[1, 1, 1]",Non-Neutral,2.0,2.0
5g7ydtcz,4,s4_n,-1.0,NO_n,"[-1, -1, -1]",Non-Neutral,-2.0,2.0
5g7ydtcz,5,s4_n,0.0,NO_n,"[0, 1, 1]",Non-Neutral,1.0,1.0
5g7ydtcz,6,s4_n,0.0,NO_n,"[-1, 0, 0]",Non-Neutral,0.0,0.0
5g7ydtcz,7,s4_n,1.0,NO_n,"[1, 0, -1]",Non-Neutral,1.0,1.0
5g7ydtcz,8,s4_n,1.0,NO_n,"[1, 0, 0]",Non-Neutral,0.0,0.0
5g7ydtcz,9,s4_n,1.0,NO_n,"[1, 1, -1]",Non-Neutral,0.0,0.0
